app_id,pricing_plan_id,feature
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Remove Ekoma branding
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Advanced Widget Designer
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,Access To Applications
d6148753-37aa-4c63-96da-f2fc968a14ee,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,More...
3327bcc4-1ba4-45e4-bcad-bcca61aae059,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,All the features from Growing
3327bcc4-1ba4-45e4-bcad-bcca61aae059,d4ec46cd-a4a7-4db2-971e-2433ce26fdfe,1300 Orders Per Month
e9dac3bf-1f34-4eee-b577-f0321a8edb62,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Create one bundle
e9dac3bf-1f34-4eee-b577-f0321a8edb62,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,One click add-to-cart button
e9dac3bf-1f34-4eee-b577-f0321a8edb62,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Use the same product in multiple bundles
e9dac3bf-1f34-4eee-b577-f0321a8edb62,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,No product duplication
e9dac3bf-1f34-4eee-b577-f0321a8edb62,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Free onboarding support
0f41a6ab-36ae-4f17-970b-ec97f96e8bd4,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Create Unlimited bundles
0f41a6ab-36ae-4f17-970b-ec97f96e8bd4,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,One click add-to-cart button
0f41a6ab-36ae-4f17-970b-ec97f96e8bd4,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Use the same product in multiple bundles
0f41a6ab-36ae-4f17-970b-ec97f96e8bd4,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,No product duplication
0f41a6ab-36ae-4f17-970b-ec97f96e8bd4,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Free onboarding support
a67dc90e-5f58-403b-a4aa-ee1c5c3083fc,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Display bundle as a product
a67dc90e-5f58-403b-a4aa-ee1c5c3083fc,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Display all bundle deals
a67dc90e-5f58-403b-a4aa-ee1c5c3083fc,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,All free plus basic plan features
a67dc90e-5f58-403b-a4aa-ee1c5c3083fc,0f7ea271-efbc-4ed8-b410-6ff7d5cebfc4,Free 3 days trial
5e59bc74-512d-47d5-92c6-a6e7a036d866,f805943c-ecc2-4067-bbe8-27e5ed0c30b1,Apply updates to the first 50 variants for Free.
191b7afb-e550-42f4-870a-43ab0d479114,f0c4c280-b530-4664-b79c-bdc5c838b90f,Up to 100 products
191b7afb-e550-42f4-870a-43ab0d479114,f0c4c280-b530-4664-b79c-bdc5c838b90f,Unlimited Voice + Text Searches​
514ed73d-88a6-4cdb-8200-59509f548185,f805943c-ecc2-4067-bbe8-27e5ed0c30b1,Unlimited price updates.
191b7afb-e550-42f4-870a-43ab0d479114,f0c4c280-b530-4664-b79c-bdc5c838b90f,Shared Server Environment
4d9e7685-0abd-44a5-b58a-b63b626cabf8,f0c4c280-b530-4664-b79c-bdc5c838b90f,Unlimited products
c6fb5f0f-f204-43e5-9f20-70df287edcaf,f805943c-ecc2-4067-bbe8-27e5ed0c30b1,Unlimited price updates
4d9e7685-0abd-44a5-b58a-b63b626cabf8,f0c4c280-b530-4664-b79c-bdc5c838b90f,Unlimited Voice + Text Searches​
4d9e7685-0abd-44a5-b58a-b63b626cabf8,f0c4c280-b530-4664-b79c-bdc5c838b90f,Shared Server Environment
c6fb5f0f-f204-43e5-9f20-70df287edcaf,f805943c-ecc2-4067-bbe8-27e5ed0c30b1,Price History and Rollback
c6fb5f0f-f204-43e5-9f20-70df287edcaf,f805943c-ecc2-4067-bbe8-27e5ed0c30b1,Scheduling
4e8df028-f268-4f2f-940d-863da05d7560,f0c4c280-b530-4664-b79c-bdc5c838b90f,Unlimited products
4e8df028-f268-4f2f-940d-863da05d7560,f0c4c280-b530-4664-b79c-bdc5c838b90f,Unlimited Voice + Text Searches​
4e8df028-f268-4f2f-940d-863da05d7560,f0c4c280-b530-4664-b79c-bdc5c838b90f,Dedicated Server Environment
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Add Multiple Facebook Pixels
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Add Pixels to Collections
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Add Pixels to Products
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Add Pixels to Pages
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Backup Pixels
b4cd57a4-b7e3-4f71-a164-80c5f3cd1303,5ed0c363-73fd-447d-9114-be0a695d7a29,Product Feed
0ef910c6-2753-407c-9143-3a34b9e17b0c,5ed0c363-73fd-447d-9114-be0a695d7a29,"Everything in Starter, plus:"
0ef910c6-2753-407c-9143-3a34b9e17b0c,5ed0c363-73fd-447d-9114-be0a695d7a29,Custom Audience Builder
0ef910c6-2753-407c-9143-3a34b9e17b0c,5ed0c363-73fd-447d-9114-be0a695d7a29,Lookalikes Builder up to 20%
aa706fa5-0431-4764-a800-8a85d4c9f91e,b034c0ce-9a76-4afe-9b8e-563dab09a8cf,7-Day free trial
aa706fa5-0431-4764-a800-8a85d4c9f91e,b034c0ce-9a76-4afe-9b8e-563dab09a8cf,1000 Tracking requests per month
aa706fa5-0431-4764-a800-8a85d4c9f91e,b034c0ce-9a76-4afe-9b8e-563dab09a8cf,Supports over 500 couriers worldwide
a2a5a594-ac12-4701-bf30-98c15a6b88e1,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,3 free effects
a2a5a594-ac12-4701-bf30-98c15a6b88e1,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,unlimited object and animation settings
388a20dd-9325-4ed3-89d4-faa926c0f1b5,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,150+ premium effects available
388a20dd-9325-4ed3-89d4-faa926c0f1b5,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,Sale / Discount badges
388a20dd-9325-4ed3-89d4-faa926c0f1b5,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,Halloween
388a20dd-9325-4ed3-89d4-faa926c0f1b5,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,Spring
388a20dd-9325-4ed3-89d4-faa926c0f1b5,d5e515cc-cb30-4cf4-9d33-1759e8bc68e7,Valentine's day
